workerid	proliferate.condition	response	sentence	slide_number_in_experiment	tgrep_id	error
145	condition1	['No', False]	chicago had some, but not all things,	24	27799:10	
145	condition1	['Yes', False]	well, i think that in some, but not all cases, it is warranted.	25	164345:22	
122	condition1	['Jennifer', 'Jennifer']		1	bot_check	
122	condition1	['Yes', '']		3	example1	
122	condition1	['No', '']		4	example2	
122	condition1	['No', True]	and she cooks them for an hour with some, but not all fat backs,,	6	71600:26	
122	condition1	['No', False]	they need  to put some, but not all sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get some discipline.	7	29177:21	
122	condition1	['Yes', False]	and, uh, a lot of it is, has a lot  to say, or some, but not all of it has a lot  to say,	8	108737:78	
122	condition1	['Yes', False]	and while that's cooking, i take mayonnaise, about a cup of mayonnaise, and a teaspoon of mustard, and some, but not all garlic powder,	9	56317:78	
122	condition1	['No', False]	because i had some appointments at the office  today, some, but not all interviews	10	146901:36	
122	condition1	['No', False]	they have some, but not all delicious, delicious things,	11	121941:10	
122	condition1	['Yes', False]	because i work some weird hours and do some, but not all traveling.	12	71923:26	
122	condition1	['No', True]	so, it sounds like you, uh, you think that, that we'd be able  to save some, but not all money by, uh  passing the line item veto.	13	163528:86	
122	condition1	['Yes', False]	i guess in some, but not all cases they just consider  pickup your, your phone and, and, and not let you use your phone for a while whether you hang up on them or not.	14	126348:16	
122	condition1	['No', False]	and, you know, there's some, but not all kids that, you know,  want  to go  learn,	15	24846:25	
122	condition1	['Yes', False]	well, th-, some, but not all of that,	16	98822:22	
122	condition1	['Yes', False]	i've read some, but not all things about him that he was, he wasn't too good himself.	17	120254:15	
122	condition1	['Yes', False]	it's hurting, you know, it's hurting germany, for example, too, and some, but not all other parts of europe where they, where they have high industry .	18	124653:71	
122	condition1	['No', False]	so she brings some, but not all money in.	19	8687:12	
122	condition1	['Yes', False]	i think that maybe that's why some, but not all people do it  is, uh, to see the other cultures or, you know and some of that.	20	15261:29	
122	condition1	['No', False]	i went to dinner with some, but not all friends last weekend	21	102781:19	
122	condition1	['No', False]	i think there was four or five different people, that  would call, you know, some, but not all of them, if they didn't have their addresses and all on them,	22	41388:61	
122	condition1	['No', False]	and some, but not all ways, it might be kind of scary.	23	131278:6	
122	condition1	['Yes', False]	well, i was doing some, but not all of the same stuff, but doing it more slowly, and with smaller files.	24	149162:20	
122	condition1	['No', False]	but, uh, that was, that's the extent of which i guess that's more than, than some, but not all people, less than others.	25	74608:91	
102	condition1	['Patricia', 'Patricia']		1	bot_check	
102	condition1	['Yes', '']		3	example1	
102	condition1	['Yes', '']		4	example2	
102	condition1	['No', '']		4	example2	
102	condition1	['No', True]	that's some, but not all brutal stuff there.	6	166453:10	
102	condition1	['No', True]	and, uh, they've had some, but not all financial problems with the team and so forth.	7	171692:24	
102	condition1	['Yes', False]	and i went because my dad can usually get a hold of some, but not all free tickets, because a lot of those doctors have season tickets,	8	14653:39	
102	condition1	['No', True]	we drive by some, but not all houses  everyday that  have big signs,	9	113475:14	
102	condition1	['Yes', False]	at the bottom end, they, uh, are always willing  to, uh, let in cheap labor if it lowers the cost of doing business in some, but not all particular area and has strong support from the, powerful people in that area.	10	176960:92	
102	condition1	['No', True]	and some, but not all of the other ones weren't born.	11	75571:7	
102	condition1	['No', True]	or you can just get some, but not all  you know, regular red peppers.	12	56203:18	
102	condition1	['No', True]	well, you've got some, but not all experience behind you in the work force.	13	139879:19	
102	condition1	['Yes', False]	and some, but not all ways, it might be kind of scary.	14	131278:6	
102	condition1	['No', True]	but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people , i felt like i needed some, but not all strong influence there.	15	95199:151	
102	condition1	['Yes', False]	so we have, both of us have some, but not all money in an i r a that we're also trying  to figure,	16	2180:39	
102	condition1	['Yes', False]	they were. i was listening to some, but not all of the comments on ra-, television  the other day, uh, about it,	17	96870:36	
102	condition1	['No', True]	but, uh, uh, it, it did show some, but not all  some, uh, some, but not all interesting things about the f b i	18	10841:72	
102	condition1	['Yes', False]	and i've got some, but not all radishes up,	19	32809:15	
102	condition1	['No', True]	and, uh, if i consider  going the used car route and save up some, but not all money, i shouldn't have too much trouble at all.	20	35565:48	
102	condition1	['Yes', False]	but i guess, i guess i like the system that they have  in some, but not all places where the defendant gets  to choose whether he's, goes before a jury for sentencing or whether the judge gets  to choose it .	21	171282:63	
102	condition1	['No', True]	and the, the ground will filter some, but not all of it but not all of it.	22	61208:34	
102	condition1	['No', True]	i imagine in argentina you've got some, but not all great foods.	23	23634:28	
102	condition1	['No', True]	does it, does it offer, like band, or some, but not all of the instruments.	24	104255:44	
102	condition1	['No', True]	and, and it's not at some, but not all of the private schools,	25	99356:32	
31	condition1	['Barbara', 'Barbara']		1	bot_check	
31	condition1	['Yes', '']		3	example1	
31	condition1	['Yes', '']		4	example2	
31	condition1	['Yes', '']		4	example2	
31	condition1	['No', '']		4	example2	
31	condition1	['Yes', True]	but, even, even some, but not all little ones do pretty good	6	78762:25	
31	condition1	['Yes', False]	what 's amazing is some, but not all of them have been on death row for a number of years.	7	66483:25	
31	condition1	['Yes', False]	some, but not all of them were even better behaved.	8	27056:5	
31	condition1	['No', True]	and there's some, but not all pretty decent campgrounds although, i don't think raleigh, i don't think the state of north carolina takes,	9	47226:12	
31	condition1	['No', True]	and, they have, of course, some, but not all pretty severe storms, winter storms, snow and that type of thing.	10	70357:25	
31	condition1	['Yes', True]	and i had some, but not all time off in the afternoon,	11	111758:13	
31	condition1	['No', True]	so, she is pretty much, although there were some, but not all other women in her class, she was, you know, uh, one of the minorities,	12	96775:40	
31	condition1	['No', False]	i haven't watch any other ones on t v. just on some, but not all of the tapes.	13	18087:40	
31	condition1	['Yes', False]	but, then, you know, i think that, that some, but not all murderers don't really warrant capital punishment. you know, just, like, for example, uh, you know, you hear about cases where women have killed their husbands who  abused them	14	164404:48	
31	condition1	['Yes', False]	um, some, but not all of the qualifications that i look for  was that, uh, you know, the cost, and, um, exactly what they did, if it was structured or nonstructured, if they had a little academic, um, uh, in there, and, um, you know, um, you know, what the qualifications of the teachers' were, and if the place was clean and um, the hours	15	125651:10	
31	condition1	['No', True]	what are some, but not all of your favorite foods .	16	23630:11	
31	condition1	['Yes', False]	i've got where now i can hit it in, in the air some, but not all of the time .	17	126165:57	
31	condition1	['Yes', False]	in, uh, some, but not all places, uh, you couldn't go to a public school.	18	24962:14	
31	condition1	['No', True]	and there r-, there are s-, some, but not all substantial, nasty penalties, um, if you, if businesses try  to avoid that.	19	167015:43	
31	condition1	['Yes', False]	but you know i guess to some, but not all people it 'd almost be better  to die to them than to spend life in prison or whatever	20	103788:26	
31	condition1	['No', True]	well, i do think with working parents it is, i mean, there are some, but not all real issues here. um, that i think, um,	21	157934:65	
31	condition1	['No', False]	he had some, but not all accomplices that  were kind of suspect,	22	90230:11	
31	condition1	['No', False]	i made some, but not all afghans and that kind of stuff.	23	7285:11	
31	condition1	['No', False]	and you can put some, but not all cucumber slices on too.	24	39653:15	
31	condition1	['No', False]	and, uh, seems like some, but not all rather large chunks of money could come from, from that direction.	25	113793:23	
134	condition1	['Elizabeth', 'Elizabeth']		1	bot_check	
134	condition1	['Yes', '']		3	example1	
134	condition1	['Yes', '']		4	example2	
134	condition1	['Yes', '']		4	example2	
134	condition1	['No', '']		4	example2	
134	condition1	['No', True]	i think there is still some, but not all discrimination there where as, you know, men and women work in the same job,	6	1638:23	
134	condition1	['Yes', False]	are the rest of us who  went for the big bucks, you know, staying out of, you know, where maybe we should be kind of socially obligated  to spend some, but not all time  teaching or something with these kids .	7	31271:110	
134	condition1	['Yes', True]	and we had some, but not all wonderful, wonderful years there under roger staubach.	8	113277:12	
134	condition1	['No', True]	that's enough to, uh, do some, but not all boating	9	99831:29	
134	condition1	['Yes', False]	that would provide, uh, possibly some relief there to utilize some, but not all of the property taxes for other things, see.	10	88001:41	
134	condition1	['No', False]	so i don't, i don't know some, but not all of those shows now, like i used  to.	11	127919:39	
134	condition1	['Yes', True]	i, i think some, but not all of the dress codes are different at different schools.	12	99170:29	
134	condition1	['No', True]	well, you should, you should have some, but not all opinions on that, then.	13	161183:38	
134	condition1	['No', True]	but i have recently done some, but not all cross stitch.	14	38927:18	
134	condition1	['Yes', True]	i usually get to the point where i can play some, but not all of my favorite themes	15	27864:37	
134	condition1	['No', True]	i guess what, the other benefits that, uh, that i, uh, that i miss, i guess is, uh, you know, some, but not all of the bonuses and stuff that that  goes on with just being involved  with a big company, you know	16	145945:125	
134	condition1	['Yes', True]	i mean, it's just almost surreal, in some, but not all places.	17	47270:33	
134	condition1	['No', True]	and one thing that you get  if you have some, but not all expertise is, uh, you know the range of, of possible values or terms or, you know, how heinous was the crime .	18	98969:36	
134	condition1	['Yes', True]	and i couldn't tell whether some, but not all parts of town had started it or if it was just everybody was, was waiting for the delivery of whatever those containers were .	19	104342:23	
134	condition1	['No', True]	that would provide, uh, possibly some, but not all relief there to utilize some of the property taxes for other things, see.	20	88001:23	
134	condition1	['Yes', False]	well, i mean, i, i, i guess i've been in some, but not all places, you know, where the weather was just so mild, you know, places like monterey, california or, you know,	21	9455:69	
134	condition1	['No', True]	and, uh, we've got some, but not all plum trees and some apple trees and some tomato and some blackberries and strawberries.	22	134426:23	
134	condition1	['Yes', False]	and then on the other hand, i've seen some, but not all people go into the nursing home and just so happy you know.	23	22992:33	
134	condition1	['Yes', False]	make hot dogs or some, but not all potato chips	24	33291:14	
134	condition1	['No', True]	and they just see some, but not all really tiny modest wood frame homes	25	126610:15	
187	condition1	['Susan', 'Susan']		1	bot_check	
187	condition1	['Yes', '']		3	example1	
187	condition1	['No', '']		4	example2	
187	condition1	['No', True]	i would like  to be a little more into investigating some, but not all of the other countries in the world and their educational problems. and to come up with something a little better than what we've got .	6	65910:42	
187	condition1	['Yes', True]	they, i guess they passed a couple of, uh, uh, laws a here while back in some, but not all states in terms of a waiting period where you know you go  to buy a hand gun	7	153721:83	
187	condition1	['No', True]	well, uh, maybe i am into some, but not all things  occasionally that i don't think of  in terms of self improvement.	8	2335:27	
187	condition1	['No', True]	and consequently some, but not all of the very best students were, had excellent memories	9	27147:10	
187	condition1	['No', True]	i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some, but not all of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth	10	138291:103	
187	condition1	['No', True]	so it 's kind of hard for me to tell what  would happen if i lived in some, but not all of the valleys inland,	11	85235:65	
187	condition1	['No', True]	i've, i've heard they're, i hear you have some, but not all problems.	12	127350:66	
187	condition1	['No', True]	well, i got some, but not all friends that, uh,	13	74032:16	
187	condition1	['No', True]	so, so then we got, we got some, but not all same things because,	14	3209:48	
187	condition1	['No', True]	but some, but not all of the different things we're doing, uh there's just not a time, enough time to do it all	15	102998:7	
187	condition1	['Yes', True]	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some, but not all people.	16	68658:113	
187	condition1	['No', False]	they were doing some, but not all  uh, ozone testing, and, uh, th-, the e p a	17	82295:13	
187	condition1	['No', True]	so but, uh, you know, we probably did some, but not all ice skating on it,	18	99947:44	
187	condition1	['No', True]	the evidence is that, uh, you know, he's, he's let some, but not all  some, but not all stuff  go, you know, the east german situation.	19	19161:75	
187	condition1	['Yes', True]	and, and it's and it's based  on, on a perception that someone has  as how a drug user would behave  when some, but not all drug users behave, uh, normal, uh, you know.	20	24580:124	
187	condition1	['Yes', True]	but, uh, uh, i know that, uh, in some, but not all of these larger cities they're passing out free syringes and all of that sort of thing to prevent, you know, so that, uh, the drug addicts won't be getting dirty needles and everything.	21	144511:39	
187	condition1	['No', True]	there are some, but not all definitely, some, but not all  some, but not all advantages to it.	22	30493:38	
187	condition1	['No', True]	they need  to put some sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get some, but not all discipline.	23	29177:102	
187	condition1	['Yes', True]	i know that, uh, uh, one of, one thing that  happens to us to vacation trips now is that usually that try to involve some, but not all of the members of the family.	24	78614:111	
187	condition1	['No', True]	a couple of times we've tried some, but not all things	25	170022:25	
182	condition1	['margaret', 'Margaret']		1	bot_check	
182	condition1	['Yes', '']		3	example1	
182	condition1	['No', '']		4	example2	
182	condition1	['No', False]	and while that's cooking, i take mayonnaise, about a cup of mayonnaise, and a teaspoon of mustard, and some, but not all garlic powder,	6	56317:78	
182	condition1	['No', False]	you know, i saw something  on c n n or on cable here a while ago that  showed some, but not all people that  had rabbits in apartments and in houses,	7	149373:69	
182	condition1	['Yes', True]	so we have, both of us have some, but not all money in an i r a that we're also trying  to figure,	8	2180:39	
182	condition1	['Yes', False]	but the, the interesting thing is that paint we wound up  having  to go back and scrape some, but not all of that away	9	27683:75	
182	condition1	['Yes', False]	i haven't watch any other ones on t v. just on some, but not all of the tapes.	10	18087:40	
182	condition1	['Yes', True]	we, we had some, but not all friends over as recently as saturday night	11	109040:25	
182	condition1	['Yes', True]	living in the city has some, but not all advantages.	12	70612:21	
182	condition1	['No', False]	goodness gracious, if we would, uh, plan our expressways a little better, that ten dollars for the bridges and the roads, we'd cut that in half and get some, but not all teachers	13	29208:96	
182	condition1	['Yes', True]	and no one could make heads or tails out of some, but not all of them	14	56809:31	
182	condition1	['Yes', False]	but there were some, but not all things  that people brought  up like well what  happens if they, they get a false positive, you know, what recourse do you have .	15	168823:14	
182	condition1	['Yes', False]	ninety, i would say about, oh, about ninety-five percent, no i guess may-, probably a hundred percent of them all are mostly brick, uh, with some, but not all wood.	16	81885:137	
182	condition1	['No', False]	and i thin-, there's also some, but not all  uh, i think, uh, poorer lifestyles illustrated but simply because it dominates so much discussionary time.	17	168607:32	
182	condition1	['Yes', True]	uh, the closest thing i did  was go to some, but not all like, uh, restored castles and stuff.	18	130584:43	
182	condition1	['Yes', False]	som-, some, but not all kids are so spoiled nowadays	19	126604:16	
182	condition1	['Yes', True]	and some, but not all people don't vote,	20	56897:6	
182	condition1	['Yes', False]	it was, yeah, in some, but not all of the critical things, like the off-, special investigations, at one time in one of the cases had videotaped this person,	21	151108:23	
182	condition1	['Yes', False]	a, a contractor friend helped me, uh, with some, but not all of the, uh, foundation work	22	176651:43	
182	condition1	['Yes', False]	and in some, but not all cases if it's a long trial, the desire  of people  to get out of there and not be stuck  in there for a very long time, that people are changing their minds for the wrong reasons.	23	157516:9	
182	condition1	['Yes', True]	that's, that's what some, but not all people call like  really heavy metal.	24	3297:34	
182	condition1	['Yes', False]	so. but, uh, you know, for some, but not all people that's good.	25	168991:40	
203	condition1	['sarah', 'Sarah']		1	bot_check	
203	condition1	['Yes', '']		3	example1	
203	condition1	['No', '']		4	example2	
203	condition1	['Yes', True]	uh, i've had, uh, three boys  through, i guess, uh, some, but not all child care, each one of them	6	170859:54	
203	condition1	['Yes', True]	i'm glad that there are still some, but not all areas that, that  get the youth involved  in that sort of thing.	7	100975:27	
203	condition1	['No', True]	because i know my grandparents wanted  to have some, but not all independence still.	8	170740:34	
203	condition1	['No', True]	uh, i bought some, but not all cokes  the other day in the br-, the little bottles you know,	9	163188:16	
203	condition1	['No', True]	and, and, uh,, i think some, but not all different things  could come from what 's happened, than what we expect .	10	85965:39	
203	condition1	['No', True]	i mean a lot of, a lot of people as kids or, you know, young people get into some, but not all things that they get out of  later on	11	169818:78	
203	condition1	['No', True]	but the, the interesting thing is that paint we wound up  having  to go back and scrape some, but not all of that away	12	27683:75	
203	condition1	['No', True]	i guess i k-, i think it's got some, but not all relevance,	13	163414:55	
203	condition1	['Yes', True]	we got, we got what some, but not all people call  the best beef in the world.	14	23641:34	
203	condition1	['No', True]	we've got some, but not all good, um, um, hybrid burpee uh uh, pickler cucumbers	15	33002:13	
203	condition1	['No', True]	so, uh, we got, we, we put dirt in the hole and then put some, but not all chicken wire around it, you know, so that he couldn't get out.	16	61752:73	
203	condition1	['No', True]	and what we have  to do  is, we have  to go, uh,  get some, but not all stuff, steal it, and then, you know, just resell it.	17	14769:69	
203	condition1	['Yes', True]	and some, but not all places, they, they, they really nail them for tax.	18	18479:6	
203	condition1	['Yes', True]	i'd read one book, i think it was calls  trial by jury of all things, that, uh  went through and interviewed a bunch of jurors in some, but not all of the big cases, and in many cases  looking at what  had, at the evidence afterwards as to whether the decision was right, went back to the jurors, uh, based on the deliberations.	19	157519:107	
203	condition1	['Yes', True]	and for the longer term i, i read, uh, like scientific american and, and, uh, readers' digest and some, but not all of those other types of magazines that  come out which, they,	20	160477:87	
203	condition1	['Yes', False]	and it's a chance to see some, but not all of the relatives you don't see  all year long except that once a year.	21	94633:27	
203	condition1	['No', True]	so, they've got quite a bit more motivation i think  to get paid  then, some, but not all of the others do.	22	73173:67	
203	condition1	['Yes', True]	i'm going  to look into some, but not all other fields.	23	129583:26	
203	condition1	['Yes', False]	well, certainly some, but not all of the top end ones.	24	134033:13	
203	condition1	['Yes', False]	we actually do some, but not all work with some people down at georgia tech.	25	170188:13	
33	condition1	['Patricia', 'Patricia']		1	bot_check	
33	condition1	['Yes', '']		3	example1	
33	condition1	['No', '']		4	example2	
33	condition1	['Yes', False]	because from what i understand, from some, but not all of the guys i know, you know, crime, uh, is punishable, just almost, uh, instantly and public,	6	6607:30	
33	condition1	['Yes', True]	at least y'all are getting some, but not all rain up in dallas.	7	70123:18	
33	condition1	['Yes', False]	i guess i've had some good experience and some, but not all bad experience with them.	8	14969:33	
33	condition1	['Yes', True]	but, the thing is too, maybe they need more of a, i don't know, more of a expert types to, to be on some, but not all of these jury cases because most time you just pick, you know, joe blow or whoever and a good citizen or whoever an-, and call them in.	9	171296:110	
33	condition1	['No', True]	and she cooks them for an hour with some, but not all fat backs,,	10	71600:26	
33	condition1	['No', True]	that, those are some, but not all important points.	11	98932:25	
33	condition1	['Yes', False]	well, not, not as hard as some, but not all places out west because you don't get the, uh, major pollution sources as you do out in denver  with the inversion and los angeles and a-, rest of california which  is just terrible it sounds.	12	156086:35	
33	condition1	['Yes', False]	uh, guy, uh, some, but not all of my things, i, i'd like  to have a short work week you know,	13	155563:20	
33	condition1	['Yes', False]	it gave some folks some, but not all jobs,	14	55919:15	
33	condition1	['Yes', False]	you can't understand what they're saying  on some of those songs which  probably is just as well on some, but not all of them, too.	15	108856:73	
33	condition1	['Yes', True]	i mean i'm sure there's some, but not all good ones,	16	138340:30	
33	condition1	['Yes', False]	anyway, it ended up after some, but not all pretty, uh, heavy bidding, that i got all those bricks for forty dollars.	17	76223:21	
33	condition1	['Yes', False]	i, uh, i'm trying my best right now  to pay off some, but not all of mine.	18	66134:57	
33	condition1	['Yes', False]	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some, but not all people.	19	68658:113	
33	condition1	['No', True]	ours really needs  to have some, but not all work done  on it	20	88662:24	
33	condition1	['No', True]	i'm going  to look into some, but not all other fields.	21	129583:26	
33	condition1	['Yes', False]	i think there was four or five different people, that  would call, you know, some, but not all of them, if they didn't have their addresses and all on them,	22	41388:61	
33	condition1	['Yes', False]	i imagine in argentina you've got some, but not all great foods.	23	23634:28	
33	condition1	['Yes', False]	some, but not all of the commands just had nothing to do  with, you know, what you were supposed  to be doing  what they, what they did  on the com-, computer	24	88719:5	
33	condition1	['No', True]	you may get a cold snap or two or some, but not all rain or something like we've been getting  in december,	25	138943:28	
112	condition1	['Sarah', 'Sarah']		1	bot_check	
112	condition1	['Yes', '']		3	example1	
112	condition1	['No', '']		4	example2	
112	condition1	['Yes', False]	uh, and then what some, but not all people would consider  a little more difficult, i, i'll change spark plugs	6	140196:19	
112	condition1	['No', True]	and i thin-, there's also some, but not all  uh, i think, uh, poorer lifestyles illustrated but simply because it dominates so much discussionary time.	7	168607:32	
112	condition1	['Yes', False]	and uh,, you know, of course i, i'm sure we have some, but not all enemies down there who  wouldn't care what  happened to us,	8	119144:63	
112	condition1	['Yes', False]	but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some, but not all people.	9	68658:113	
112	condition1	['Yes', False]	and the second one was i bought some, but not all toys at a, um, at a craft fair.	10	106619:25	
112	condition1	['Yes', False]	and then, you know, we've got some, but not all guys here that  they are, you know, four and five handicappers	11	25608:31	
112	condition1	['No', False]	but when i do play, uh, and begin  to reacquire skills  i inevitably fall in love with country western music which  tends  to be in some, but not all ways easy to play  for a, for a new piano player.	12	27780:99	
112	condition1	['No', False]	and let's, you know, let's get rid  of some, but not all of this harassment suing.	13	23510:57	
112	condition1	['Yes', False]	i i built it  two levels and with a big toy box and some, but not all benches and, uh, a backrest and all that stuff.	14	176628:53	
112	condition1	['Yes', False]	uh, we're probably making a comparison against, uh, some, but not all european and, uh, and, uh, uh, s-s-say, newer republics that, uh, that  have very high percentages.	15	83056:37	
112	condition1	['No', False]	it 's amazing how the, you know, people you talk to  have some, but not all interesting conversations	16	76809:59	
112	condition1	['Yes', False]	and some, but not all of the really nice ones that  really take care of their people are so expensive. because cause they can afford  to hire the people that  are really going to care for the older.	17	159358:7	
112	condition1	['No', False]	but i have recently done some, but not all cross stitch.	18	38927:18	
112	condition1	['Yes', False]	some, some, but not all places do have guard gates that you have  to get through, or electronic access gates and things like that.	19	46244:16	
112	condition1	['No', False]	there have been some, but not all really wild shows put on there.	20	94747:14	
112	condition1	['No', False]	and some, but not all of the other ones weren't born.	21	75571:7	
112	condition1	['No', False]	i read, uh, a lot of steven king, dean r koontz, uh some, but not all danielle steel.	22	115343:46	
112	condition1	['Yes', False]	well, th-, there were some, but not all people that, uh, that  had a problem with that. because they found out later on that, jeez, you know, a guy will lie rather than get killed .	23	144063:31	
112	condition1	['No', False]	it's just, you know, a possible solution in the future, i think, maybe to help in some, but not all ways.	24	103624:72	
112	condition1	['Yes', False]	and i would imagine their learning disabilities are quite large in some, but not all cases.	25	31254:36	
239	condition1	['Linda', 'Linda']		1	bot_check	
239	condition1	['Yes', '']		3	example1	
239	condition1	['No', '']		4	example2	
239	condition1	['Yes', True]	uh, i can see some, but not all  some, but not all potential changes that  probably are, are, would not cost very much but might, uh, make things a little easier. such as offering a, a smorgasbord. having a larger variety of benefits	6	6414:31	
239	condition1	['No', False]	but when time came  to direct their ability to make choices to develop the kinds of things that, that they're going  to need   to interact with other people , i felt like i needed some, but not all strong influence there.	7	95199:151	
239	condition1	['Yes', False]	and we, uh, got a quote on some, but not all laser printers  the other day at six hundred dollars.	8	28597:28	
239	condition1	['Yes', False]	at least some, but not all companies.	9	172656:9	
239	condition1	['Yes', False]	you know, when you write a test  you have  to look at some, but not all data from it and see how the different questions are performing  and find out which ones  are discriminating well and which ones  aren't find out how reliable the test is,	10	149148:54	
239	condition1	['Yes', False]	we actually do some work with some, but not all people down at georgia tech.	11	170188:22	
239	condition1	['Yes', False]	and the guys that, some, but not all of the guys that  run this place are very tight	12	28711:26	
239	condition1	['No', False]	like i do some, but not all volunteer work here and there,	13	15216:13	
239	condition1	['No', True]	they'll help you, recycle, because we, there is some, but not all bins, like behind wal-mart, that  take some things.	14	20734:50	
239	condition1	['Yes', False]	we used  to go once a month, once every two months  to visit some, but not all of the patients there.	15	169890:62	
239	condition1	['No', False]	and then i, and then they in turn will get some, but not all money from the bottlers and from the the people that  do the canning of the pop and the beer as as well.	16	154986:45	
239	condition1	['No', False]	well as, it, as i recall it got some, but not all academy awards, didn't it.	17	10895:45	
239	condition1	['No', False]	even in for kids watching some, but not all of it can be a little violent sometimes and stuff.	18	9762:24	
239	condition1	['Yes', False]	uh, some, but not all of that unfortunately is legal.	19	126455:10	
239	condition1	['No', False]	we bought some, but not all walkie-talkies a couple of years ago for christmas,	20	119842:10	
239	condition1	['No', True]	well, it sounds like he's got some, but not all really, you know, good strong ideas of what he wants  to do .	21	99651:29	
239	condition1	['No', False]	i, i have, i have some, but not all friends who  do expert wis-, witness testimony	22	68757:42	
239	condition1	['Yes', False]	some, but not all people,	23	130276:4	
239	condition1	['No', False]	and some, but not all of the people in our church use birth control	24	47855:7	
239	condition1	['No', False]	that's, y-, count your blessings because uh, it really is good when someone can do some, but not all things to a car themselves .	25	118309:83	
150	condition1	['Margaret', 'Margaret']		1	bot_check	
150	condition1	['Yes', '']		3	example1	
150	condition1	['No', '']		4	example2	
150	condition1	['Yes', False]	use the same hoi sin sauce and some, but not all of the frozen mixed vegetables.	6	23994:24	
150	condition1	['No', False]	i sit, i sit and watch some, but not all shows,	7	35130:35	
150	condition1	['Yes', False]	and i see some, but not all of the problems the kids have  when they don't have a real good family structure .	8	72387:13	
150	condition1	['No', False]	i, i'm glad,  to see some, but not all of these things, i think .	9	79557:42	
150	condition1	['No', False]	i've been trying  to do some, but not all bibs for him. and, uh, work on his christmas stocking.	10	5156:27	
150	condition1	['No', True]	i guess i k-, i think it's got some, but not all relevance,	11	163414:55	
150	condition1	['Yes', False]	i mean, there are a lot of kids who when they're ten   look like they're twelve, or fourteen or, and, and, especially some, but not all of the minority children. whether, you know a racist or not,	12	42645:119	
150	condition1	['No', True]	and it, and if it's possible even get some, but not all experience at it or at least watch some people do it.	13	24421:47	
150	condition1	['No', True]	so, there are some, but not all  some, but not all strides  to be made  there.	14	96724:27	
150	condition1	['Yes', False]	uh, we had some, but not all  uh, some, but not all people from our church  went to israel, uh, just for a, uh, tour sort of thing.	15	5366:34	
150	condition1	['Yes', False]	i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers or even some, but not all smaller homework assignments.	16	172264:114	
150	condition1	['No', False]	i, i think some, but not all of the dress codes are different at different schools.	17	99170:29	
150	condition1	['No', True]	you saved me some, but not all money.	18	11353:13	
150	condition1	['No', False]	well, i guess there are some, but not all places, uh, in the north, in particular that, uh,  have a real definite way of encouraging you to recycle	19	130065:25	
